scientific_name,longitude,latitude,checklist_id,country,observer_id,sampling_event_identifier,observation_count,state_code,locality_id,protocol_type,observation_date,year,month,time_observations_started,duration_minutes,effort_distance_km,number_observers
Turdus amaurochalinus,-47.8133543,-14.1779223,S31627007,Brazil,obs522970,S31627007,1,BR-GO,L4948889,Stationary,17-09-16,2016,9,16.96666667,120,0,1
Turdus amaurochalinus,-66.128179,-17.41047,S31782608,Bolivia,obs470142,S31782608,1,BO-C,L4952412,Traveling,07-05-16,2016,5,9,30,1,4
Turdus amaurochalinus,-41.778584,-20.599721,S31826709,Brazil,obs553158,S31826709,2,BR-ES,L4954785,Traveling,28-09-16,2016,9,6.583333333,160,2,2
Turdus amaurochalinus,-47.5242105,-22.3678977,S31813360,Brazil,obs730004,S31813360,1,BR-SP,L4956769,Traveling,29-09-16,2016,9,10.13333333,30,0.3,1
Turdus amaurochalinus,-44.1965064,-19.9701155,S31828394,Brazil,obs655821,S31828394,1,BR-MG,L4959124,Traveling,25-09-16,2016,9,6.5,45,3,4
Turdus amaurochalinus,-65.4745245,-24.792328,S31840890,Argentina,obs229597,S31840890,8,AR-A,L4960924,Traveling,01-10-16,2016,10,8.5,150,2.5,2
Turdus amaurochalinus,-47.5636755,-22.4205475,S31852399,Brazil,obs611666,S31852399,2,BR-SP,L4962690,Traveling,02-10-16,2016,10,11.8,21,1,1
Turdus amaurochalinus,-64.2100078,-31.4413783,S31861403,Argentina,obs628462,S31861403,1,AR-X,L4963777,Traveling,01-10-16,2016,10,15,180,2,1
Turdus amaurochalinus,-46.718495,-23.691972,S31890562,Brazil,obs539848,S31890562,1,BR-SP,L4967654,Traveling,29-09-16,2016,9,9,60,0.5,3
Turdus amaurochalinus,-63.504561,-19.350096,S31898185,Bolivia,obs277988,S31898185,1,BO-S,L4968551,Stationary,02-10-16,2016,10,8.5,75,0,1
Turdus amaurochalinus,-63.531211,-20.013262,S31898186,Bolivia,obs277988,S31898186,2,BO-S,L4968555,Stationary,02-10-16,2016,10,6.25,45,0,1
Turdus amaurochalinus,-55.8028218,-27.4605559,S31902491,Argentina,obs519818,S31902491,2,AR-N,L4969235,Traveling,17-09-16,2016,9,16.23333333,76,1,4
Turdus amaurochalinus,-49.0387698,-26.8563193,S31922613,Brazil,obs669650,S31922613,1,BR-SC,L4972015,Traveling,13-09-16,2016,9,6.733333333,240,1.5,1
Turdus amaurochalinus,-57.0315814,-19.5760626,S31948563,Brazil,obs657914,S31948563,1,BR-MS,L4975535,Stationary,03-08-16,2016,8,6,90,0,2
Turdus amaurochalinus,-56.0298753,-34.8563795,S31960234,Uruguay,obs663024,S31960234,1,UY-CA,L4977387,Stationary,09-10-16,2016,10,13.01666667,14,0,2
Turdus amaurochalinus,-48.8021278,-27.0360399,S31968246,Brazil,obs756240,S31968246,2,BR-SC,L4978522,Traveling,09-10-16,2016,10,6.5,240,4,2
Turdus amaurochalinus,-49.3671942,-25.4931782,S31978205,Brazil,obs533652,S31978205,1,BR-PR,L4980013,Traveling,08-10-16,2016,10,9,150,4,1
Turdus amaurochalinus,-65.1897222,-26.6147222,S31990984,Argentina,obs111915,S31990984,5,AR-T,L4981879,Stationary,10-10-16,2016,10,8.666666667,90,0,2
Turdus amaurochalinus,-56.117909,-34.8824308,S31990952,Uruguay,obs772603,S31990952,2,UY-MO,L4981914,Stationary,11-10-16,2016,10,10.36666667,20,0,2
Turdus amaurochalinus,-42.454286,-22.090143,S32025059,Brazil,obs187569,S32025059,1,BR-RJ,L4984965,Traveling,12-10-16,2016,10,6.433333333,5,4,3
Turdus amaurochalinus,-65.045765,-32.151988,S32012664,Argentina,obs609654,S32012664,4,AR-X,L4985083,Traveling,04-10-16,2016,10,19.28333333,20,0.7,1
Turdus amaurochalinus,-42.490133,-22.086802,S32036809,Brazil,obs187569,S32036809,1,BR-RJ,L4988637,Traveling,14-10-16,2016,10,16.36666667,90,2,1
Turdus amaurochalinus,-46.875678,-23.473272,S32037231,Brazil,obs765959,S32037231,3,BR-SP,L4988705,Stationary,14-10-16,2016,10,15.5,120,0,1
Turdus amaurochalinus,-64.225,-31.3830556,S32042345,Argentina,obs111915,S32042345,6,AR-X,L4989464,Stationary,12-10-16,2016,10,7.5,90,0,1
Turdus amaurochalinus,-42.562506,-22.075968,S32052888,Brazil,obs187569,S32052888,1,BR-RJ,L4991015,Traveling,15-10-16,2016,10,16.46666667,80,3,1
Turdus amaurochalinus,-62.6838889,-30.9319444,S32058209,Argentina,obs111915,S32058209,5,AR-X,L4991807,Stationary,15-10-16,2016,10,8,30,0,1
Turdus amaurochalinus,-48.126183,-22.2722406,S32090313,Brazil,obs624065,S32090313,,BR-SP,L4996333,Traveling,16-10-16,2016,10,11.33333333,300,5,1
Turdus amaurochalinus,-44.3353506,-23.1556839,S32097425,Brazil,obs624315,S32097425,2,BR-RJ,L4997411,Traveling,18-10-16,2016,10,12.96666667,60,2.897,2
Turdus amaurochalinus,-43.9010214,-20.3779918,S32129083,Brazil,obs111997,S32129083,1,BR-MG,L4997964,Stationary,20-10-16,2016,10,8.533333333,43,0,1
Turdus amaurochalinus,-44.7202778,-23.2041163,S32102674,Brazil,obs293385,S32102674,1,BR-RJ,L4997980,Traveling,18-10-16,2016,10,9,180,3,1
Turdus amaurochalinus,-56.0910213,-34.8899639,S32713722,Uruguay,obs521964,S32713722,4,UY-MO,L4999493,Traveling,25-11-16,2016,11,16.91666667,15,0.4,1
Turdus amaurochalinus,-65.575,-25.5794444,S32117048,Argentina,obs111915,S32117048,2,AR-A,L4999950,Stationary,19-10-16,2016,10,13.33333333,60,0,1
Turdus amaurochalinus,-65.4352778,-25.2286111,S32122011,Argentina,obs111915,S32122011,2,AR-A,L5000676,Traveling,19-10-16,2016,10,17.75,45,5,1
Turdus amaurochalinus,-58.9275604,-27.4248623,S32133818,Argentina,obs553377,S32133818,1,AR-H,L5002081,Traveling,20-10-16,2016,10,16.5,90,2,2
Turdus amaurochalinus,-48.958349,-15.846732,S32140804,Brazil,obs112834,S32140804,1,BR-GO,L5003091,Traveling,03-08-16,2016,8,9,120,1,1
Turdus amaurochalinus,-57.5221395,-25.3282008,S32144448,Paraguay,obs658144,S32144448,1,PY-11,L5003669,Stationary,23-02-16,2016,2,11.46666667,120,0,2
Turdus amaurochalinus,-56.4291511,-34.7579638,S32146425,Uruguay,obs812956,S32146425,,UY-SJ,L5003942,Traveling,21-10-16,2016,10,16.5,180,1,2
Turdus amaurochalinus,-47.5544031,-22.4034232,S32149215,Brazil,obs611666,S32149215,1,BR-SP,L5004478,Traveling,22-10-16,2016,10,8,5,0.5,1
Turdus amaurochalinus,-54.6165457,-26.0149608,S32154807,Argentina,obs428997,S32154807,1,AR-N,L5005088,Stationary,22-10-16,2016,10,12.61666667,60,0,2
Turdus amaurochalinus,-57.5717165,-25.3019013,S32153098,Paraguay,obs667383,S32153098,2,PY-ASU,L5005092,Stationary,22-10-16,2016,10,12.83333333,76,0,1
Turdus amaurochalinus,-64.330162,-31.2209367,S32280584,Argentina,obs741678,S32280584,2,AR-X,L5005141,Traveling,29-10-16,2016,10,7.05,300,3,5
Turdus amaurochalinus,-54.6152875,-26.0176715,S32154785,Argentina,obs428997,S32154785,1,AR-N,L5005410,Traveling,22-10-16,2016,10,14.53333333,75,0.6,1
Turdus amaurochalinus,-54.5779414,-25.4418292,S32156875,Brazil,obs815063,S32156875,4,BR-PR,L5005795,Traveling,22-10-16,2016,10,17.78333333,210,0.483,2
Turdus amaurochalinus,-47.8797269,-21.9843983,S32157317,Brazil,obs743744,S32157317,2,BR-SP,L5005811,Traveling,22-10-16,2016,10,17,100,3,2
Turdus amaurochalinus,-48.500654,-27.544996,S32157771,Brazil,obs187569,S32157771,1,BR-SC,L5005937,Stationary,22-10-16,2016,10,15.06666667,4,0,1
Turdus amaurochalinus,-55.928961,-27.4051437,S32167348,Argentina,obs622908,S32167348,3,AR-N,L5007570,Traveling,22-10-16,2016,10,13.25,300,0.5,3
Turdus amaurochalinus,-43.919671,-19.943747,S32178000,Brazil,obs620938,S32178000,,BR-MG,L5008522,Stationary,22-10-16,2016,10,8.5,200,0,1
Turdus amaurochalinus,-55.92585,-27.4051942,S32174028,Argentina,obs766944,S32174028,2,AR-N,L5008791,Stationary,22-10-16,2016,10,5.333333333,280,0,4
Turdus amaurochalinus,-56.1654782,-34.9245397,S32174770,Uruguay,obs663939,S32174770,3,UY-MO,L5008928,Traveling,23-10-16,2016,10,16.25,90,2,1
Turdus amaurochalinus,-60.6737636,-31.6362475,S32176336,Argentina,obs778266,S32176336,,AR-S,L5009212,Traveling,22-10-16,2016,10,14,60,0.5,5
