scientific_name,longitude,latitude,checklist_id,country,observer_id,sampling_event_identifier,observation_count,species_observed,state_code,locality_id,protocol_type,observation_date,year,time_observations_started,duration_minutes,effort_distance_km,number_observers
Turdus rufiventris,-64.3950599,-24.2629258,G10279223,Argentina,"obs243813,obs428007","S138597936,S138597937",2,true,AR-Y,L24518047,Traveling,19-05-23,2023,15.25,76,1.39,3
Turdus rufiventris,-64.2205375,-23.8204492,G10279450,Argentina,"obs243813,obs428007","S138600920,S138600921",1,true,AR-Y,L24518615,Stationary,19-05-23,2023,9.516666667,25,0,3
Turdus rufiventris,-64.4311869,-24.174719,G10279877,Argentina,"obs243813,obs428007","S138606170,S138606171",4,true,AR-Y,L24519801,Traveling,18-05-23,2023,14.36666667,115,2.53,3
Turdus rufiventris,-64.3260274,-24.0151613,G10279941,Argentina,"obs243813,obs428007","S138606434,S138606647",2,true,AR-Y,L24519859,Traveling,17-05-23,2023,16.91666667,32,0.24,3
Turdus rufiventris,-57.4305083,-37.7514567,G10286353,Argentina,"obs801011,obs553295","S138673869,S138727617",8,true,AR-B,L24534016,Traveling,20-05-23,2023,16.23333333,25,0.31,2
Turdus rufiventris,-48.506463,-27.610258,G10301920,Brazil,"obs3565447,obs761398","S138678027,S139009155",1,true,BR-SC,L24534903,Traveling,21-05-23,2023,8.283333333,72,0.708,2
Turdus rufiventris,-56.3712594,-28.7685967,G10288353,Argentina,"obs1506631,obs1148357","S138763308,S138811058",2,true,AR-W,L9995893,Traveling,21-05-23,2023,7.383333333,90,1.14,3
Turdus rufiventris,-47.9219873,-15.8118708,G10298111,Brazil,"obs3799245,obs1734842","S138927073,S138927156",,true,BR-DF,L24587314,Stationary,22-05-23,2023,16.65,60,0,2
Turdus rufiventris,-50.212927,-29.486154,G10310345,Brazil,"obs923294,obs3454352,obs756924,obs1168193","S139148677,S139148678,S139152119,S139784867",1,true,BR-RS,L6343803,Traveling,18-05-23,2023,16.8,13,0.17,4
Turdus rufiventris,-67.572119,-39.086833,G10869370,Argentina,"obs512356,obs625927","S139223188,S150367385",2,true,AR-R,L24648402,Traveling,25-05-23,2023,13.13333333,24,1.487,2
Turdus rufiventris,-48.7184302,-27.6497004,G10356350,Brazil,"obs1628954,obs624154","S139229043,S140067068",2,true,BR-SC,L24649876,Traveling,25-05-23,2023,12.86666667,265,3.97,2
Turdus rufiventris,-57.4427742,-37.7360911,G10315067,Argentina,"obs1538882,obs3184364,obs1483309,obs3815753,obs3659344","S139239683,S139243936,S139264982,S139377072,S140210302",2,true,AR-B,L24652103,Stationary,25-05-23,2023,14.23333333,55,0,3
Turdus rufiventris,-65.3853345,-24.0102453,G10314812,Argentina,"obs243813,obs428007","S139240442,S139240443",1,true,AR-Y,L24652250,Stationary,25-05-23,2023,16.95,4,0,3
Turdus rufiventris,-65.3976275,-24.0315893,G10314833,Argentina,"obs243813,obs428007","S139240573,S139240576",2,true,AR-Y,L24652284,Stationary,25-05-23,2023,14.11666667,47,0,3
Turdus rufiventris,-49.8950529,-27.9678724,G10318819,Brazil,"obs1150776,obs2057259,obs1488545,obs1809935","S139308459,S139321464,S139364756,S139531267",1,true,BR-SC,L5775292,Traveling,26-05-23,2023,11.75,43,0.69,4
Turdus rufiventris,-54.4359144,-25.5607246,G10357511,Brazil,"obs1133414,obs1202104","S139571931,S140079519",1,true,BR-PR,L12470756,Stationary,25-05-23,2023,8.783333333,4,0,2
Turdus rufiventris,-65.2816777,-24.2215191,G10415453,Argentina,"obs1363687,obs1289482","S139577878,S141226858",1,true,AR-Y,L24731741,Traveling,28-05-23,2023,8.616666667,115,1.89,2
Turdus rufiventris,-64.8597905,-23.6998401,G10369331,Argentina,"obs635326,obs632241","S139608257,S140340303",2,true,AR-Y,L6223135,Traveling,26-05-23,2023,15.25,27,0.42,5
Turdus rufiventris,-58.0833941,-32.3874996,G10336741,Uruguay,"obs1438730,obs1861602","S139667815,S139673269",1,true,UY-PA,L24754782,Traveling,28-05-23,2023,8.5,60,1,2
Turdus rufiventris,-50.5200467,-29.4539367,G10339104,Brazil,"obs826311,obs3276748,obs1991499","S139712310,S139712311,S139712312",3,true,BR-RS,L15135868,Traveling,24-05-23,2023,7.35,160,1.14,3
Turdus rufiventris,-57.995009,-38.350916,G10351115,Argentina,"obs1172218,obs3517690","S139945227,S139952211",2,true,AR-B,L24816852,Traveling,30-05-23,2023,12.26666667,80,2.908,2
Turdus rufiventris,-49.4103408,-26.6384385,G10356415,Brazil,"obs1150776,obs1488545,obs2057259,obs1809935","S140051359,S140068142,S140205341,S140599278",1,true,BR-SC,L24840460,Traveling,31-05-23,2023,14.3,15,1.25,4
Turdus rufiventris,-55.6462992,-27.3731568,G10360335,Argentina,"obs1098072,obs1371624","S140146044,S140150534",3,true,AR-N,L24860800,Traveling,31-05-23,2023,11.33333333,110,1,2
Turdus rufiventris,-60.9622805,-24.9556019,G10834688,Argentina,"obs841403,obs838524","S142802293,S149775681",2,true,AR-H,L25503408,Traveling,24-04-23,2023,7.666666667,245,4.78,2
Turdus rufiventris,-64.4465009,-18.0206435,G10723142,Bolivia,obs657817,S145434147,3,true,BO-S,L26151721,Traveling,24-05-23,2023,18.23333333,15,0.4,2
Turdus rufiventris,-43.177925,-22.8962281,S144289546,Brazil,obs326299,S144289546,1,true,BR-RJ,L10036657,Traveling,11-07-23,2023,0.3,30,0.805,1
Turdus rufiventris,-57.5515956,-19.0186106,S144136032,Brazil,obs1336614,S144136032,,true,BR-MS,L10054444,Traveling,10-07-23,2023,8.016666667,179,5,5
Turdus rufiventris,-53.9810763,-25.8596236,S144774224,Argentina,obs1319465,S144774224,1,true,AR-N,L10965642,Traveling,16-07-23,2023,9,220,3,2
Turdus rufiventris,-47.0434396,-23.2779569,S143377364,Brazil,obs1348592,S143377364,2,true,BR-SP,L11525226,Traveling,02-07-23,2023,16.2,74,2.66,1
Turdus rufiventris,-55.0786367,-34.3326809,S143543319,Uruguay,obs1164314,S143543319,4,true,UY-LA,L11976066,Traveling,03-07-23,2023,13.5,135,5,2
Turdus rufiventris,-59.8702419,-36.7688934,S145322944,Argentina,obs3327030,S145322944,1,true,AR-B,L12150682,Traveling,22-07-23,2023,17.75,40,1,1
Turdus rufiventris,-43.932208,-19.995204,S144004780,Brazil,obs1477653,S144004780,3,true,BR-MG,L12156993,Traveling,09-07-23,2023,7.716666667,139,2.08,1
Turdus rufiventris,-58.537441,-34.5813213,S143673156,Argentina,obs1899629,S143673156,,true,AR-B,L12365812,Stationary,05-07-23,2023,17.66666667,45,0,1
Turdus rufiventris,-45.7618017,-22.706004,S145007243,Brazil,obs2939029,S145007243,1,true,BR-SP,L12383435,Traveling,19-07-23,2023,8.616666667,71,2.21,3
Turdus rufiventris,-57.548431,-25.334981,S145833381,Paraguay,obs1315664,S145833381,1,true,PY-11,L12963185,Traveling,28-07-23,2023,11.73333333,125,3.4,1
Turdus rufiventris,-64.5028893,-31.5887883,S146005598,Argentina,obs636257,S146005598,2,true,AR-X,L13299458,Traveling,30-07-23,2023,10.93333333,108,4.47,1
Turdus rufiventris,-65.0319868,-42.78024,S144469366,Argentina,obs817124,S144469366,1,true,AR-U,L13387766,Traveling,13-07-23,2023,15.5,60,0.4,1
Turdus rufiventris,-43.1924265,-22.9502982,S145659377,Brazil,obs745634,S145659377,1,true,BR-RJ,L13644751,Traveling,26-07-23,2023,8,30,1,1
Turdus rufiventris,-38.5090227,-13.0014401,S144331394,Brazil,obs622736,S144331394,3,true,BR-BA,L13902977,Traveling,12-07-23,2023,12.3,23,1.18,1
Turdus rufiventris,-68.8690685,-32.8818355,S144758094,Argentina,obs1288336,S144758094,3,true,AR-M,L14279456,Stationary,16-07-23,2023,17.01666667,8,0,1
Turdus rufiventris,-56.9482425,-37.1055231,S145210460,Argentina,obs1465989,S145210460,15,true,AR-B,L14452191,Traveling,21-07-23,2023,16.71666667,30,1.5,2
Turdus rufiventris,-64.325626,-31.1611629,S145617705,Argentina,obs541066,S145617705,1,true,AR-X,L15342243,Traveling,25-07-23,2023,17.98333333,65,1.12,1
Turdus rufiventris,-57.439954,-27.9710038,S145407225,Argentina,obs1887629,S145407225,1,true,AR-W,L15533724,Traveling,23-07-23,2023,13.81666667,8,0.49,1
Turdus rufiventris,-45.9951171,-23.7940879,S144227569,Brazil,obs1057741,S144227569,1,true,BR-SP,L15755229,Traveling,11-07-23,2023,10.08333333,44,0.664,1
Turdus rufiventris,-49.953188,-29.6347421,S145842475,Brazil,obs1462150,S145842475,3,true,BR-RS,L15900967,Stationary,25-07-23,2023,9.9,5,0,1
